price,COUNT(*)
0.0,99
0.01,3
0.1,14
0.15,1
0.2,89
0.25,6
0.3,61
0.35,10
0.4,35
0.45,7
0.47,1
0.5,2891
0.55,3
0.6,316
0.65,65
0.68,11
0.7,1164
0.75,566
0.8,1386
0.85,65
0.89,5
0.9,1003
0.91,13
0.95,183
0.99,47
1.0,7091
1.04,2
1.05,17
1.1,453
1.15,31
1.17,10
1.2,1464
1.22,1
1.25,95
1.3,790
1.35,18
1.36,1
1.4,274
1.43,1
1.44,1
1.45,33
1.49,5
1.5,3861
1.55,19
1.56,9
1.6,276
1.65,44
1.69,1
1.7,544
1.75,173
1.8,1647
1.82,4
1.84,1
1.85,31
1.9,724
1.92,5
1.95,221
1.98,4
1.99,70
2.0,11527
2.03,72
2.05,8
2.06,17
2.08,2
2.1,640
2.15,66
2.16,2
2.19,13
2.2,3712
2.21,16
2.25,366
2.28,3
2.29,5
2.3,1369
2.32,3
2.33,2
2.34,24
2.35,53
2.4,853
2.42,3
2.45,98
2.48,3
2.49,26
2.5,11929
2.51,1
2.53,2
2.55,21
2.58,2
2.6,978
2.65,63
2.69,3
2.7,1118
2.73,1
2.75,341
2.79,5
2.8,1713
2.85,66
2.86,10
2.89,19
2.9,1340
2.92,1
2.93,1
2.95,476
2.97,1
2.98,1
2.99,138
3.0,8862
3.03,1
3.05,42
3.06,4
3.09,3
3.1,611
3.12,4
3.13,4
3.15,61
3.18,1
3.19,1
3.2,1252
3.24,1
3.25,540
3.26,1
3.27,2
3.3,970
3.32,1
3.35,66
3.36,12
3.38,6
3.4,730
3.42,1
3.45,163
3.48,5
3.49,56
3.5,8926
3.51,1
3.55,40
3.56,1
3.6,950
3.61,5
3.63,1
3.64,3
3.65,28
3.69,1
3.7,1027
3.72,2
3.73,1
3.75,286
3.78,3
3.8,1655
3.84,6
3.85,69
3.86,4
3.88,2
3.9,2048
3.92,1
3.95,380
3.99,145
4.0,9257
4.05,30
4.1,554
4.12,5
4.13,3
4.15,52
4.16,3
4.19,2
4.2,1478
4.25,176
4.26,1
4.29,4
4.3,771
4.32,4
4.35,51
4.37,2
4.38,6
4.4,709
4.42,6
4.45,182
4.46,4
4.48,1
4.49,49
4.5,7518
4.52,1
4.55,197
4.56,3
4.59,4
4.6,683
4.62,2
4.64,7
4.65,23
4.68,7
4.69,2
4.7,657
4.73,5
4.74,1
4.75,157
4.76,4
4.79,2
4.8,1035
4.81,1
4.85,64
4.86,12
4.89,1
4.9,1477
4.94,12
4.95,587
4.97,2
4.99,167
5.0,8804
5.05,25
5.07,8
5.1,370
5.13,14
5.15,41
5.18,14
5.19,2
5.2,802
5.23,8
5.25,109
5.27,1
5.28,1
5.29,1
5.3,604
5.32,2
5.35,44
5.39,2
5.4,396
5.45,189
5.46,5
5.49,29
5.5,5945
5.55,32
5.59,3
5.6,364
5.62,2
5.63,2
5.64,2
5.65,68
5.66,1
5.67,8
5.69,3
5.7,324
5.72,2
5.75,103
5.76,5
5.79,2
5.8,631
5.81,1
5.85,195
5.86,4
5.88,14
5.89,1
5.9,1311
5.92,1
5.93,2
5.94,7
5.95,456
5.98,1
5.99,188
