city,num_restaurants
,3
1040,1
Aalst,38
Aalter,4
Aarschot,8
Aarsele,1
Aarstelaar,1
Aartselaar,4
Affligem,1
Alken,2
Alost,6
Alsemberg,3
Anderlecht,84
Ans,2
Antwerp,2
Antwerpen,437
Antwerpen-Zuid,1
Anvers,8
Anwterpen,1
Anzegem,1
Ardooie,1
Arendonk,2
As,1
Asse,12
Assebroek,1
Ath,1
Aubel,2
Auderghem,12
Averbode,1
Awans,1
Baardegem,1
Baarle-Hertog,1
Baarle-Nassau,1
Balen,4
Beersel,1
Begijnendijk,2
Belsele,2
Berchem,30
Berchem sainte Agathe,1
Berchem-Saint-Agathes,1
Berchem-Sainte-Agathe,6
Berendrecht,1
Beringen,8
Beringen-mijn,1
Berlaar,3
Berlare,2
Betekom,2
Beveren,11
Beveren-Waas,2
Beverlo,3
Bilzen,7
Blankenberge,17
Bocholt,1
Boechout,2
Booischot,2
Boom,14
Boortmeerbeek,3
Borgerhout,19
Borgloon,2
Bornem,9
Borsbeek,8
Boutersem,2
Bouwel,1
Braine l'Alleud,2
Braine-Le-Comte,1
Braine-l'Alleud,6
Braine-le-Château,3
Braine-le-Comte,1
Braine-l’Alleud,1
Brasschaat,18
Brecht,2
Bredene,4
Bree,5
Broechem,1
Bruges,3
Brugge,96
Brugge Sint-Andries,1
Brugge Sint-Kruis,1
Brussel,11
Brussel-Hoofdstad,3
Bruxelles,264
Bruxelles-Capitale,15
Buggenhout,4
Buggenhout (Opdorp),1
Buizingen,2
Bunsbeek,1
Burcht,1
Chaumont-Gistoux,1
Comines,1
Comines-Warneton,1
Courtrai,1
Dalhem,1
De Haan,2
De Klinge,2
De Panne,1
Deinze,10
Denderhoutem,1
Denderleeuw,5
Dendermonde,12
Dessel,2
Destelbergen,2
Deurne,56
Diegem,4
Diepenbeek,5
Diest,9
Diksmuide,2
Dilbeek,10
Dilsen-Stokkem,3
Dormaal,1
Dranouter,1
Drogenbos,3
Drongen,2
Duffel,5
Dworp,1
Echt,1
Edegem,4
Eeklo,8
Eernegem,1
Eigenbrakel,1
Eindhout,1
Eisden,1
Eke,1
Ekeren,11
Eksel,1
Elsene,3
Enghien,4
Eppegem,1
Erembodegem,1
Erpe-Mere,6
Ertvelde,2
Essen,4
Estaimpuis,1
Etterbeek,43
Evere,23
Evergem,4
Fexhe-le-Haut-Clocher,1
Forest,30
Frasnes,1
Frasnes-lez-Anvaing,2
Galmaarden,1
Gand,7
Ganshoren,12
Geel,12
Geetbets,2
Genk,32
Gent,309
Gentbrugge,3
Genval,4
Geraardsbergen,8
Ghent,2
Gierle,1
Gijzegem,1
Gistel,1
Grand-Bigard,2
Grembergen,1
Grez-Doiceau,3
Grimbergen,7
Grobbendonk,3
Groot-Bijgaarden,4
Haacht,4
Haaltert,1
Haasdonk,1
Hal,3
Halen,1
Halle,5
Halle-Booienhoven,1
Halluin,3
Ham,1
Hamme,11
Hamont,2
Hamont-Achel,3
Hannut,5
Harelbeke,10
Hasselt,41
Hasselt-Spalbeek,1
Hechtel,1
Hechtel-Eksel,1
Heers,1
Heist-Op-Den-Berg,1
Heist-op-den-Berg,9
Hekelgem,1
Helecine,1
Hemiksem,4
Herent,6
Herentals,10
Herenthals,1
Herenthout,1
Hermalle,1
Herselt,2
Herstal,1
Herzele,1
Heusden-Zolder,17
Hever,1
Heverlee,5
Hoboken,13
Hoegaarden,1
Hoepertingen,1
Hoeselt,2
Holsbeek,1
Hombeek,1
Hoogstraten,4
Hoogstraten-Meerle,1
Houthalen,3
Houthalen-Helchteren,8
Houthalen-Oost,1
Hove,1
Hulshout,2
Ichtegem,2
Ieper,12
Itegem,1
Ittervoort,1
Ixelles,50
Izegem,6
Jette,30
Jeuk,1
Jodoigne,2
Kalken,2
Kalmthout,6
Kampenhout,5
Kanne,1
Kapelle-op-den-Bos,1
Kapellen,9
Kasterlee,1
Keerbergen,3
Kermt,2
Kessel,2
Kessel-Lo,11
Kessel-Lo (Leuven),1
Kessel-lo,1
Kester,1
Kiel,1
Kinrooi,2
Knocke-Heist,1
Knokke,9
Knokke-Heist,18
Koekelberg,13
Koersel,1
Koksijde,4
Kontich,7
Kortemark,1
Kortenaken,1
Kortenberg,3
Kortrijk,16
Kortrijk-Dutsel,1
Kraainem,3
Kruibeke,3
Kruishoutem,1
Kumtich (Tienen),1
Kuringen,2
Kuurne,4
La Hulpe,4
Laakdal,1
Laeken,48
Laken,1
Lanaken,10
Landen,2
Lasne,3
Lebbeke,3
Lede,3
Ledeberg,8
Leeuw-Saint-Pierre,6
Lembeek,3
Lendelede,2
Lennik,2
Leopoldsburg,5
Lessines,4
Leuven,174
Liedekerke,3
Lier,23
Lierde,1
Lille,2
Linden (Lubbeek),1
Linkebeek,1
Linkeroever,1
Lint,1
Liège,8
Lochristi,2
Lokeren,12
Lombardsijde-Bad,1
Lommel,12
Londerzeel,4
Loppem,1
Louvain,4
Louvain-la-Neuve,1
Lubbeek,1
Lummen,1
Maaseik,3
Maasmechelen,13
Maastricht,6
Maastricht West,1
Machelen,3
Maldegem,3
Malines,5
Malle,3
Mechelen,84
Meerhout,2
Meise,1
Melle,2
Menen,3
Menin,3
Merchtem,4
Merelbeke,4
Merksem,22
Merksplas,2
Meulebeke,1
Middelkerke,3
Mol,10
Molenbeek,9
Molenbeek-Saint-Jean,36
Moorsele,1
Moorslede,2
Mortsel,20
Mouscron,16
Munster Bilzen,1
Nazareth,2
Neder-Over-Heembeek,1
Neder-over-Heembeek,2
Neerlinter,1
Neerpelt,5
Neupré,1
Niel,4
Nieppe,1
Nieuwerkerken,1
Nieuwkerken-Waas,1
Nieuwpoort,4
Nijlen,9
Ninove,11
Noorderwijk (Herentals),1
Oelegem,1
Oevel,1
Okselaar,1
Olen,1
Olsene,1
Oordegem,1
Oostakker,2
Oostduinkerke,3
Oostende,85
Oosterzele,1
Oostkamp,5
Oostrozebeke,2
Opglabbeek,1
Ophasselt,1
Opwijk,3
Oreye,1
Ossendrecht,1
Ostende,2
Oud-Heverlee,1
Oud-Turnhout,3
Oudenaarde,12
Oudergem,1
Oudsbergen,1
Oupeye,2
Overijse,8
Overpelt,3
Peer,4
Pelt,3
Poperinge,3
Putte,6
Putte-Kapellen,1
