restaurant_name,latitude,longitude,avg_price,ratings
Melita Original,50.9050631,3.5288347,22.785714285714285,4.4
Cannur Pizza Pasta Pitta BBQ,51.0058452,3.8886878,20.844,4.3
Anatolia Hoogstraten,51.3960999,4.75359,19.166666666666668,4.1
Flamingo Pizza & Kebap,51.3557804,4.8650923,17.35,3.6
Qubbe Lounge,50.9796424,5.4915451,16.0,4.8
Keyf Lounge,51.1401444,5.5835198,15.777777777777779,4.9
La Rosa,51.1393449,4.6095,15.75,3.9
Milo Kebap Pizza Pasta,51.1895375,5.0757013,15.645833333333334,3.8
Herentals Kebab,51.1745451,4.838171,15.568965517241379,4.4
Pizzalicious,51.017464,3.9579873,15.5,3.9
Populair,50.861949,5.6249084,15.444444444444445,4.1
My Kebab,50.9872387,5.40882,15.391304347826088,3.2
Pitta Sena,51.037505,3.714077,15.333333333333334,3.3
Huzur Pizzeria Kebab,51.1311405,5.4560267,15.11111111111111,4.3
DailySlice,51.2110818,3.2424745,15.0,4.4
Eethuis Orient,51.0388933,5.2991728,15.0,4.2
Pasa,51.0332193,5.2812994,15.0,4.0
Pitta Melita,50.9226945,3.4458184,15.0,3.9
Pitta Melita,50.9460015,3.8041969,15.0,2.6
Pitawan,51.0243125,4.4775937,14.9,3.9
The Pizza Masters,51.0367741,3.7416992,14.9,4.1
Eethuis Kodak,51.2259261,5.4302185,14.714285714285714,4.0
Pita Vogelmarkt,51.213503,4.4094513,14.7,0.0
Baskent Nijlen,51.1652144,4.6819769,14.65,3.7
Istanbul,51.1672968,5.1734859,14.65,4.8
Orient Overpelt,51.2119421,5.4230823,14.5,4.2
Kebap Oasis,51.0973895,4.9451813,14.375,4.1
Pitta Istanbul,50.97435,3.014752,14.333333333333334,3.9
Pizzeria Vosselaar,51.3148154,4.8895358,14.3,3.0
Pizza Marmaris,51.2469449,4.4435028,14.277777777777779,4.1
Nur Kebab,50.8861168,5.5289695,14.25,4.3
Side Kebap,51.3187134,5.0863443,14.25,3.7
Efes Mol,51.1873243,5.1196074,14.15,4.2
Cheff Kebab,51.1410312,4.8398966,14.142857142857142,3.9
Frituur 't Patatje,51.216785,2.9356925,14.0,4.3
Leo's Bakkerij & Kebab,51.117792,5.2601209,14.0,4.5
Mc Buffet,50.8875816,3.4306791,14.0,3.6
Mr. Spareribs,50.930466,5.343357,14.0,4.8
SaBa Snack,51.2062849,3.2180116,14.0,3.7
Forty Seven,50.9325605,5.4049223,13.916666666666666,3.8
Pizzeria Valentino,51.1246762,4.495271,13.916666666666666,3.9
Milas,51.1615201,5.3969554,13.875,4.9
Efes,51.3109921,4.8870504,13.857142857142858,3.3
Kebabstore,50.929356,5.4626102,13.833333333333334,4.6
Pittaverne,51.4644444,4.4725981,13.833333333333334,4.2
Adel Eethuis,51.3787817,4.4745592,13.8,3.1
De Echte Eethuis Carlos,51.0023083,4.8359204,13.777777777777779,5.0
Napoli Schoten,51.2548016,4.5036859,13.71875,4.4
Pitta Marmaris,50.7699036,3.8745797,13.703703703703704,3.7
HKebab Pizza,50.8055699,4.1549889,13.666666666666666,4.2
Midyat,51.0006958,4.8298804,13.666666666666666,4.4
Nazar Pizza Kebap,51.0555709,4.6305208,13.666666666666666,3.9
Grill Metin,50.8066648,4.9394094,13.616666666666667,3.7
Alo Pizza,51.3342494,4.9634086,13.6,3.6
Antalya Pita,51.0217628,4.1140786,13.6,3.9
't Hoekske,51.2421,4.9658074,13.583333333333334,4.7
Pitta de Kroon,50.949387,4.04096,13.583333333333334,4.9
Dunya Kebab,51.11452,4.866375,13.55,3.8
'T Food Dilemma,51.2976457,3.0830791,13.5,4.2
Kebab House,51.1021044,2.5882683,13.5,4.6
Orient,50.9249881,5.3259603,13.5,3.8
Pitaverne Wilrijk,51.1717341,4.3877893,13.5,3.7
Pitta Araz,50.8698006,3.6220167,13.5,4.3
Pitta Dorp,50.870853,4.0181446,13.5,4.8
Pitza Service Beveren,51.2112126,4.252266,13.5,3.5
Pizza Royal,50.8917936,3.427323,13.5,3.8
Saray Pizza & Kebab,51.1383619,4.9038049,13.5,3.3
Millenium Kebap,50.9835692,4.8312654,13.384615384615385,4.3
Eethuis Bidos,50.8904648,5.653412,13.357142857142858,4.2
Campus & Fratelli,51.2250618,4.4074559,13.307142857142855,4.4
Pizza L'Esta,51.1792768,4.3553309,13.275714285714287,4.9
Cesars,51.0567325,4.6288207,13.25,4.7
De Pizzabakker,50.90793,4.51349,13.25,4.4
Eatpoint,51.0297439,5.2592668,13.25,4.1
Pizza Sam,51.3394195,3.2383649,13.25,4.2
La Bella,51.22917,5.4319444,13.225,4.1
Het Paleis Eethuis,51.3200678,4.9751429,13.222222222222221,4.0
4 Seizoenen,51.293016,4.4945229,13.216666666666667,4.7
Eethuis Nazar,51.093322,5.0611908,13.214285714285714,4.0
Eethuis Hoekske,50.925994,5.3251184,13.2,4.1
Eethuis Tuba,51.1310196,4.3893394,13.2,4.3
Eethuis Yuksel,51.1615063,4.6694733,13.2,4.2
Eethuis Botan,51.0526079,4.7287392,13.18421052631579,3.9
Pizza Pita House,51.175496,4.8243417,13.175,3.5
Mashar Pide,50.977367,5.489949,13.166666666666666,3.6
Milano Pizza Grill,50.9768089,4.6335843,13.166666666666666,4.3
Oba Grillhuis,51.1162617,5.2620302,13.166666666666666,4.2
Papi's pizza,50.9712916,4.1865574,13.15,4.3
Snack Aydin Beringen,51.0748681,5.2200034,13.133333333333333,4.8
Euro Pizza Grill,50.949074,4.57991,13.125,4.6
Pizza Sultan Westmeerbeek,51.0607777,4.8365614,13.1,4.2
Pitta Sari 9040,51.0528254,3.7474673,13.087499999999999,4.0
Ediz Pizza-Pita,50.9911311,3.8307237,13.071428571428571,4.1
Eethuis Turnhout,51.319332,4.949775,13.066666666666666,4.0
Ararat,50.8116006,5.1899666,13.0,4.1
Baskent Balen,51.1728415,5.1696578,13.0,4.1
De Fontein,51.2191013,4.1945366,13.0,4.4
Istanbul Resto Snack,51.1321422,2.7512009,13.0,4.3
Kebab@Home,50.9369842,4.0271876,13.0,2.7
King Of Kebab,51.0534807,4.8821208,13.0,4.6
Konak Pizzeria Doner Kebab,51.1763368,5.8374658,13.0,2.8
Mamma Mia,50.8133081,5.6691349,13.0,3.9
Mira,0.0,0.0,13.0,4.7
Pitta Izmir 2 Ertvelde,51.1802528,3.7467185,13.0,4.0
Pizza Efe Itegem,51.1032629,4.7276196,13.0,3.8
Pizza Town Houtem,50.9207779,3.8538031,13.0,4.6
Resto Snack Alanya,51.116352,2.681679,13.0,4.7
Brasserie Shammy's,51.1793005,4.3779457,12.9375,4.2
Bosphorus,50.8753181,5.3082716,12.933333333333334,3.9
Cappadocia,51.2180687,4.419398,12.923076923076923,4.1
Melita,50.890503,3.0607631,12.916666666666666,4.7
Friterie Houba,50.8860058,4.3425412,12.9,3.4
Pizzalijn Berchem,51.1973852,4.430622,12.9,4.7
Huzur Pizzeria Kebab,51.1163805,5.2619274,12.857142857142858,4.6
Ottoman Eethuis,50.8730912,5.5212681,12.857142857142858,4.1
Melita,51.2142722,4.2572492,12.816666666666668,3.3
Balen'se Kebap,51.1710139,5.1663912,12.8,4.0
Kent,51.183926,5.1148286,12.8,4.3
Venus 7,51.0874035,5.2196722,12.8,3.9
Venus 8,51.055254,5.2738908,12.8,4.6
Call Pizza,51.0416276,4.5157261,12.78,4.3
The Daily,51.212832,4.2564012,12.76923076923077,3.3
Eetboutique Kaya,50.9075832,5.4189421,12.75,4.6
Pizza Sam,51.3169613,3.133781,12.75,4.1
Seven Kebap 7,50.9323878,5.3422072,12.75,4.1
Snack Unal,51.1866205,5.1177366,12.75,4.5
Pizza Point,51.1235066,4.8682401,12.722222222222221,4.3
Antalya Kebab,51.1948087,4.7340181,12.714285714285714,4.5
Eethuis Meyman,50.9426912,5.2861735,12.714285714285714,4.8
Pitta Gizem,50.9401098,4.0432019,12.7,4.6
Pizzo,50.998208,4.1295875,12.7,4.4
Anatolian Kebap,51.0673158,5.0911336,12.666666666666666,4.3
Sofram,51.0746271,5.2202015,12.666666666666666,4.2
Plaza Snacks,51.0229785,5.3137589,12.642857142857142,4.9
De ster pizzeria & doner kebap,51.0905238,4.9161535,12.625,4.6
Dr. Grill,51.252831,5.106028,12.625,4.4
Efes bij Carlos Niko,50.988972,4.840586,12.625,4.3
Musty Kebab,51.1261817,5.358197,12.625,4.4
Qivvi,51.161534,4.6696033,12.604545454545455,4.7
Aladin,50.9330042,5.3268261,12.6,4.3
Kebab Time,51.226,5.3141255,12.6,3.9
Wemmel Grill,50.91032,4.3009225,12.527027027027026,4.0
Kebap Store,50.9799202,4.9708248,12.526315789473685,3.9
Anka Kebab,50.9073594,5.0596721,12.5,4.3
Boston Pizza,50.9672032,3.9770103,12.5,4.3
De Mijn Kebab,51.0372686,5.3310157,12.5,3.8
Eethuis familia,51.219894,4.2795415,12.5,3.8
Frituur Cité,50.9811288,5.4923153,12.5,4.1
Gold Pizza,51.2464296,4.4477511,12.5,4.5
Kebap Corner,50.978933,5.0567785,12.5,3.8
Madame Gusto,50.8856404,4.3176225,12.5,3.0
Pizza & Pitta Home,51.1060883,3.9879205,12.5,3.2
Pizza Florida,50.839714,3.47281,12.5,4.8
Pizza Midas,51.2080947,3.4510793,12.5,4.4
Pizza Trenti,51.2536044,4.5023549,12.5,4.4
Pizzeria Pompeji,51.1975082,4.4527734,12.5,3.8
Pyramide,51.24612,5.54582,12.5,4.9
Snack Corner,51.0702663,4.036278,12.5,4.8
Snack Opwijk,50.9691957,4.1890306,12.5,4.3
Snack Ot's,50.8709745,4.375243,12.5,4.5
Snack Sympa,50.8365798,4.3661102,12.5,3.9
Steakhouse Mamma,51.4430011,4.9296567,12.5,4.1
Toscana,51.1586094,4.4913434,12.5,4.5
Pizza Efe Hulshout,51.0759414,4.7886443,12.43888888888889,3.5
Kral Snacks,51.1750392,5.1355752,12.428571428571429,3.8
Ada Grill & Burger,50.8465692,5.6941176,12.4,4.1
Dennis Kebap,51.0698019,5.0882976,12.4,2.9
Frituur Heuvelpoort,51.0370599,3.726667,12.4,3.6
Number One Snack,50.9453622,5.2611201,12.4,4.1
Pizza Hanoo,51.0021956,3.8813768,12.4,4.4
Pizza Ti Amo,50.8745392,4.6914768,12.381666666666666,3.3
M&N Royal,51.0761247,4.7219067,12.38,4.1
Eethuis Bij Hakan,51.0347288,5.729146,12.375,4.3
Ali Baba Stalenstraat,50.9935263,5.5186807,12.333333333333334,3.9
Ali Baba Vennestraat,50.9802545,5.4919544,12.333333333333334,3.9
Eethuis Mehmet,50.8487033,5.4899992,12.333333333333334,4.7
Istanbul,50.8788052,4.7001891,12.325,3.6
Kebap Nisa,51.1982186,3.2193108,12.3125,4.5
Best Grill,50.7710849,3.8828792,12.285714285714286,3.8
Ali Baba,50.8788873,4.7000875,12.283333333333333,3.7
Amon,51.2950518,4.4892408,12.25,3.7
Asmin,51.060475,3.7477763,12.25,4.3
Bosphorus,51.1038132,3.9928181,12.25,4.4
Hever Kebab,50.992436,4.555168,12.25,3.9
Isis,51.4281673,4.4618152,12.25,3.9
La Rosa,51.1819222,4.6016273,12.25,4.0
Moni,51.2054624,4.4728745,12.25,3.7
Pizza Pita Ege 2,51.0555994,4.2056305,12.25,3.9
Pizza kebap Pasa,51.0538633,4.883327,12.25,4.2
Pizzeria Alma,50.87551,4.7301188,12.25,4.1
Sebo,50.8084433,5.4662026,12.25,4.2
Pitta Kebab Sude,50.9998937,3.7501562,12.222222222222221,3.4
Bel Kebab,51.0588082,5.2733333,12.214285714285714,4.6
Reet Grillhouse,51.1148621,4.3898315,12.2,2.8
Poker Friet,50.9865354,4.7810916,12.1875,4.1
Eethuis Troja,51.1788669,4.831852,12.166666666666666,4.3
Orient KURINGEN,50.9415088,5.3007665,12.166666666666666,4.4
Pizza La Vince,51.0992448,4.2342988,12.166666666666666,3.8
Topkapi-Pitta Grillhouse,51.132175,2.6723878,12.166666666666666,3.9
Pitta & Pizza Antalya,51.2114476,4.251832,12.152173913043478,4.2
Grillhouse Kusadasi,50.9311393,5.5741936,12.142857142857142,4.7
Pizza Efe Olen,51.1433937,4.8599987,12.125,4.0
Sahin Eethuis,51.18434,4.9846778,12.125,4.5
TAT,50.9263663,5.3399257,12.116666666666667,4.4
Pizza Pitta Flora,51.0193229,3.764036,12.105555555555556,4.3
't Kebabske,51.0258352,5.3753281,12.1,4.5
Anatolia,51.0280462,4.0987641,12.1,3.3
Anatolia 23,51.2514972,5.5466132,12.1,4.6
Sam Kebab,50.987235,4.8388002,12.090909090909092,4.3
