name,ratings,avg_price
#Falafel,4.5,5.428571428571429
'T Food Dilemma,4.2,7.676853526220615
'T Friet Stekkerke,4.6,3.2813559322033896
'T Gouden Hapje,4.3,4.142857142857143
'T Goudvisje,3.9,14.181846153846152
'T vurig fritje,4.1,4.344444444444444
't Dorp Broodjes & Frituur,4.8,3.3663793103448274
't Friet-Uurke,3.8,3.3818897637795278
't Frietboerke,4.0,11.016071428571427
't Frietgenot,4.4,4.586148648648648
't Friethuis,4.8,3.7882978723404257
't Frietmoment,4.6,3.5846774193548385
't Frietwinkelken,4.2,4.736231884057971
't Fritateljee,4.7,3.4578947368421056
't Fritwinkeltje,4.6,5.253658536585366
't Gouden Frietje,3.8,3.477272727272727
't Gouden Frietje,4.1,2.9719298245614034
't Hoekske,3.0,9.213793103448275
't Hoekske,4.7,12.076576576576576
't Kapelleke Snacks & Chinees,4.5,7.023489932885906
't Kebabske,4.5,9.777037037037038
't Kokske,4.6,17.004225352112677
't Oud Lier,4.8,10.891866666666667
't Pallieterke,4.0,15.44
't Perfecte Huis,4.5,9.526923076923076
't Spitje,4.8,8.596153846153847
't Stad Kebab,3.9,7.636363636363637
't Zakske,3.5,3.713
't broodhuisje,4.1,5.946341463414634
18 Sushi,4.7,10.66868686868687
2Bangkok Thai,3.9,17.114754098360656
4 Seizoenen,4.7,13.344696969696969
4 Stagioni,3.9,13.136363636363637
5th Gok,3.9,24.0
8tea5 - Bubble Tea,4.0,6.677777777777778
8tea5 - Bubble Tea,4.7,5.852727272727273
@ Wok,3.2,10.870689655172415
@Mor Lakker Is,4.7,5.456910569105691
A La Turka Berchem,4.4,4.2890243902439025
A Modo Mio,4.0,14.12962962962963
AFC - Antwerp Fried Chicken,1.9,6.2868867924528296
AFC - Antwerp Fried Chicken,3.4,6.967032967032967
AFC - Antwerp Fried Chicken,3.6,6.392673267326733
AFC - Antwerp Fried Chicken,4.2,6.3191999999999995
Aahaar Restaurant,3.7,7.3828125
Aalst Sushi,4.5,11.587078651685394
Aba-Jour,4.6,13.25
Abilux Burger House,3.9,10.3
Abooov Kebab,3.7,12.0
Achiles,4.4,8.779569892473118
Acqua e Farina,4.5,12.193877551020408
Acropolis - Patmos - El Gringo,4.7,20.725
Ada Grill & Burger,4.1,8.370558375634518
Adak Kebab,4.2,9.574866310160427
Adam Restaurant,4.4,10.056603773584905
Adam food,3.0,4.859493670886076
Adana Kebab,3.5,9.135576923076924
Adel Eethuis,3.1,12.12797619047619
Afc - Antwerp Fried Chicken,3.9,7.11340206185567
Africalicious,3.7,6.775
Afro Luna,3.5,12.805454545454545
Afrosian,2.5,9.11111111111111
Agency's Grillhouse,4.4,5.160714285714286
Agora,4.1,13.828169014084507
Agrea,3.6,8.126086956521739
Ah Quy,4.5,7.913043478260869
Akdeniz,4.3,17.794117647058822
Aki Sushi,4.8,13.642857142857142
Aki Sushi Heist-op-den-Berg,4.5,14.504225352112675
Akid Bab Alhara,4.4,4.505681818181818
Akira,4.6,10.200529100529101
Akira Sushi,4.5,9.489583333333334
Akwa Nord,3.7,17.391304347826086
Al Baron,3.0,6.82051282051282
Al Carso,4.1,12.210526315789474
Al Colosseo,3.4,5.933628318584071
Al Dente,4.4,9.008196721311476
Al Hamidine,4.0,8.553846153846154
Al Maestro,3.4,11.478571428571428
Al Mandaloun,4.2,9.359016393442623
Al Solito Posto,4.4,14.507692307692308
Al Tarboush,3.2,8.204444444444444
Aladin,4.3,10.149302325581395
Alba,4.7,9.097333333333333
Alex Grill House,3.3,6.782332155477032
Ali Baba,3.7,8.281879194630873
Ali Baba,4.3,9.07532894736842
Ali Baba,4.4,8.955038759689923
Ali Baba,4.6,9.038518518518519
Ali Baba - Chez Assaad,4.8,5.349038461538461
Ali Baba Restaurant,3.8,8.47391304347826
Ali Baba Stalenstraat,3.9,9.819444444444445
Ali Baba Vennestraat,3.9,9.845132743362832
Ali Baba et Les 40 Saveurs,4.5,7.8932692307692305
Ali Pizzahuis,3.7,8.383663366336634
Ali's Eethuis,3.1,9.60730593607306
Allo Beyrouth,4.1,10.65040650406504
Allo Liban,3.9,10.226666666666667
Allo Pizza,3.6,13.063559322033898
Allo Pizza,3.9,7.236434108527132
Almina,4.1,6.672661870503597
Alo Pizza,3.6,11.696516393442622
Aloha - Poké & Woké,3.8,9.394117647058824
Aloha Poke,4.4,5.9799999999999995
Aly Baba,3.2,10.089506172839506
Am Princesse,4.9,9.057471264367816
Amarelys,3.2,7.763953488372094
Amari's,3.8,7.254166666666666
Amber's Pizzalijn,4.6,13.677777777777777
Amino's,4.1,4.137931034482759
Amjam,4.4,6.864183673469388
Amon,3.7,7.930973451327434
Amon,3.8,12.747685185185185
Amon,3.9,10.069277108433734
Amore & Fantasia,3.0,12.839622641509434
Amvrosia,4.4,8.509677419354839
Amy & Mary Specialty Ice Creams,4.3,14.916666666666666
Anahita,3.7,5.17962962962963
Anar,4.4,14.582142857142859
Anatolia,3.3,7.53781512605042
Anatolia,4.1,9.5
Anatolia 23,4.6,10.285714285714286
Anatolia Hoogstraten,4.1,11.962745098039216
Anatolian Kebap,4.3,10.51025641025641
Anatolie's,4.1,9.475984251968505
Ancho,3.5,7.958695652173914
Andalucia,4.1,11.160166666666667
Andiamo Pizza,4.2,12.357142857142858
Andromeda,4.7,6.586428571428572
Anka Kebab,4.3,10.0
Ankara,4.6,17.068181818181817
Annapurna,4.1,14.452525252525252
Anoot,4.6,12.6
Antalya Grill,3.8,9.466101694915254
Antalya Kebab,4.5,10.362573099415204
Antalya Pita,3.9,12.313770491803279
Antichi Sapori,3.8,12.470588235294118
Antoinetta's Snacks Frituur,4.8,4.418324607329843
Antwerp Foodbar,4.7,5.946938775510204
Antwerp Kebab,3.5,5.9787878787878785
Antwerp Pizza - Pasta - Kebab,2.7,9.308609271523178
Antwerpasta,4.7,8.696969696969697
Antwerpen Fried Chicken 5,3.5,6.727282608695652
Apero bouffe Lobsang,4.4,11.852888888888888
Apollo Pizza,4.7,11.983798882681564
Apollon,4.7,11.933
Arabesque,4.2,7.295862068965518
Aragon,3.7,9.925
Ararat,4.1,11.44700460829493
Aras Kontich Snack,3.5,6.413275862068966
Arata Sushi,4.8,12.97421875
Arax,4.4,12.5
Argonautes,4.8,11.794594594594594
Arigato Sushi Bar,4.4,14.973148148148148
Aroy,4.6,13.88888888888889
Aroy Thai,4.1,7.80188679245283
Arrivero,4.1,9.501612903225807
Arrivero,4.2,9.559574468085106
Art Of Chocolate Bar,3.7,6.934285714285714
Art Sushi,4.1,11.9725
Art's & Bagels,3.7,7.035849056603774
Ascoli,3.8,16.641509433962263
Asia Délice,4.7,8.676073619631902
Asian Bowl,4.4,9.75
Asian Express,4.5,10.083333333333334
Asian Food,4.2,9.898837209302325
Asian House,4.3,14.65020618556701
Asian King,3.8,11.487903225806452
Asian Kitchen,4.8,14.667741935483871
Asian Time,3.8,13.793181818181818
Asie A Tik,4.1,9.045283018867924
Asmin,4.3,11.014244186046511
Asya Pizzeria,4.7,10.23134328358209
At Lebanese,3.9,7.81566265060241
Ath Grill,4.2,6.73986013986014
Atlantic Vishandel,3.9,11.384375
Atlas Lunch en Grillroom,3.9,7.541156462585033
Atlas Steak and Cheese,3.2,7.928571428571429
Atlasresto,4.1,6.85632183908046
Au Bon Coeur 2,3.9,12.953488372093023
Au Chapati,4.4,4.0890625
Au Fond Du,4.8,10.85530303030303
Au Fourneau de Braine,4.8,6.439024390243903
Au Pain Marie,4.6,6.674336283185841
Au Palais des saveurs,4.6,16.769473684210524
Au Petit En Cas (chez Lucie),4.1,2.888888888888889
Au Village de Shanghai,4.7,11.114598540145986
Au Vogelenzang,4.9,11.154545454545454
Australian,4.0,4.916666666666667
Australian,4.2,4.916666666666667
Autentica Pizza,4.7,9.710526315789474
Aux Delices De Fes,4.0,6.756190476190476
Aux Grillades d'Ans,4.3,7.419753086419753
Aux Saveurs D'Eden,4.2,5.451022727272727
B Foodie,3.9,9.807500000000001
B&G,4.2,8.064814814814815
B-Cook,4.0,4.019565217391305
BBQ Chik'n,4.4,6.901639344262295
BE-JACKS,4.5,13.76108870967742
BFC,3.9,11.78936170212766
BRGRS,4.8,7.196969696969697
BUDDY'S,4.2,6.58125
Bab Kebab,3.8,6.273255813953488
Babel,4.7,24.931578947368422
Babu,4.3,6.690740740740741
Bad by La Parisienne,4.1,7.45
Bagatino Deluxe,4.2,13.004444444444445
Bagel Corner,4.8,5.504166666666666
Bagel Jackson,3.7,8.032
Bagel Jackson,4.1,7.821621621621621
Bagel Jackson Osseghem,4.0,7.372972972972973
Bagelshop Houthalen,4.7,5.271794871794872
Baguette & Salad Bar,3.5,5.575462962962963
Bakkerij 2800,3.3,6.243421052631579
Bakkerij Deurne,3.7,2.8411764705882354
Bakkerij Sari,4.5,3.9026315789473682
Balen'se Kebap,4.0,10.31578947368421
Balls & Glory,3.9,12.095744680851064
Balls & Glory,4.2,11.489795918367347
Balls & Glory,4.6,11.235849056603774
Balls & Glory Leuven,4.4,11.829545454545455
Bamboo Sushi & Bar,3.6,13.700729927007298
Bambou Sushi,4.0,7.517948717948718
Bananaleaf,3.8,11.876551724137931
Banh Mi,4.4,7.4393939393939394
Banh Mi Express,4.4,7.744230769230769
Banh Mi Express,4.8,8.604411764705883
Banjul Kitchen,4.6,4.704166666666667
Bar Gazet,4.4,5.884915254237288
Bar Nine,4.2,11.479999999999999
Bar-celona,4.8,16.0
Baracca,3.0,9.844827586206897
Baraka't Kacem,4.4,13.932575757575757
Barnaba,4.9,12.947368421052632
Barouche Diner,3.1,8.89391304347826
Barouche Kortemunt,2.8,9.455238095238096
Barouche Leuven,4.2,10.521176470588234
Basic Italian,3.6,8.702439024390245
Basic Italian - Sint-Pietersstation,3.7,7.913043478260869
Basic Italian I,3.8,6.998214285714285
Basic Italian II,3.6,7.097499999999999
Basilico,4.6,9.666666666666666
Baskent Averbode,4.5,10.200636942675159
Baskent Balen,4.1,10.338983050847459
Baskent Meerhout,4.9,10.33248730964467
Baskent Nijlen,3.7,12.087349397590362
Baskent Peer,4.2,10.95320197044335
Baskent Tessenderlo,3.7,10.092896174863387
Bavet,3.1,11.321276595744681
Bavet,3.3,11.752272727272727
Bavet,3.6,11.416216216216215
Bavet,3.8,11.488095238095237
Bavet,3.9,11.752272727272727
Bavet,4.0,11.452499999999999
Bavet,4.3,11.752272727272727
Bazi Boulangerie,4.3,2.335294117647059
Bbq Hema,4.4,11.12
Bbq Royal,4.4,5.286274509803922
Be Sushi Pokebowl,3.8,12.375
BeSushi Pokebowl,4.2,11.21743119266055
Beirut Palace,4.3,13.11304347826087
Beirut Plaza,4.7,19.046153846153846
Beiruti,3.5,9.073333333333334
Beiruti Xpress,3.3,8.477777777777778
Bel Kebab,4.6,9.636986301369863
Belchicken,3.3,9.687967479674796
Belchicken,3.4,9.59906882591093
Belchicken,3.5,9.667857142857143
Belchicken,3.9,9.498275862068965
Belchicken,4.0,9.368932038834952
Belchicken,4.1,9.425555555555555
Belchicken,4.3,9.324796747967481
Belchicken,4.7,9.581550387596899
Belchicken Leuven,3.9,9.418916666666666
Belchicken Lochristi,3.7,9.161322314049587
Belchicken Overpoortstraat,3.9,10.187623762376239
Belchicken Rooigemlaan,3.6,9.592032520325203
Belchicken Vrijdagsmarkt,3.8,9.658050847457629
Bella Ciaoo,4.6,10.454545454545455
Bella Italia,4.0,10.75
Bella Italia,4.3,18.284574468085108
Bella Italia,4.6,10.922680412371134
Bella Italia,5.0,11.995999999999999
Bella Pizza,4.0,10.645454545454545
Bella Rosa,4.3,10.543693693693692
Bella Vista,3.2,9.775510204081632
Bella Vita,4.3,12.838034682080925
Bella's,4.8,8.210714285714285
Ben's Burger,4.2,7.695918367346939
Benji's Luxury Pitta,4.6,7.90625
Benvenuto,4.7,10.02127659574468
Bereket Eethuis & Bakkerij,4.3,4.216532258064516
Best Fresh,4.4,4.49976
Best Grill,3.4,6.060784313725491
Best Grill,3.8,9.218959107806691
Best Grill Molenbeek,3.5,6.622147651006712
Best Kebab,3.3,10.403409090909092
Best of Kebap & Pizza Dender,4.2,8.298076923076923
BetoBe - Lebanese Street food,4.2,12.47037037037037
Better Than Hungry,4.2,8.12037037037037
Beyranet,4.8,16.365671641791046
Beyzade,4.0,10.151250000000001
Beïrut-Restaurant Libanais,4.3,12.602089552238807
Bia Mara,4.1,8.508571428571429
Bia Mara,4.3,10.134375
Big Bite,3.6,9.127235772357725
Big Bites,4.7,5.8
Big Guy Burger,4.5,6.833333333333333
Biggie Burgers,2.7,6.352
Bij Frituur LiTo,4.2,4.363414634146342
Bij Mia & Maria,4.5,5.174561403508772
Bij Sylvia & Wim,4.5,5.469565217391304
Bij de Griek,4.6,17.583333333333332
Binx,4.0,4.231932773109244
Bio Sushi,4.2,16.2824
Bistro Begijnenhof,4.6,12.1796875
Bistro Delivery,4.7,8.84920634920635
Bistro Flandria,4.3,9.43061224489796
Bite,4.9,10.215789473684211
Black Angus Burger Gourmet,3.0,9.256304347826088
Bless by Belinda,4.7,12.923076923076923
Blue Pearl,3.3,5.315068493150685
Bocata,3.8,3.867682926829268
Bocca,3.9,5.7140350877192985
Boccone,4.1,5.926829268292683
Bodega Gilles,4.1,13.666666666666666
Bodega Gust,4.0,13.071428571428571
Bodhi,4.7,8.970588235294118
Bodrum Palace,3.6,8.320114942528736
Boelekewis,4.9,11.645664739884394
BohoBowl,3.9,5.238095238095238
Bolifrit,4.8,3.955725190839695
Bollero,4.6,4.776953907815631
Bollywood Overijse,3.7,15.375
Bombay inn,4.7,10.552179487179487
Bonici pizza Burger,3.6,5.437623762376238
Bonito Sushi & Thai,4.5,13.936764705882354
Bonsai Sushi,4.4,13.528301886792454
Boo Boo Cakes,3.2,15.0
Bookbinders,4.5,15.840909090909092
Borgerholtse Frit,4.7,3.1319999999999997
Bosphore Grill,4.5,11.329545454545455
