city,latitude,longitude,restaurant_count
Alveringem,50.93868479,2.642272805,0
Alveringem,50.94032573,2.674055433,0
Alveringem,50.96769601,2.704963435,0
Alveringem,50.9754827,2.674575535,0
Alveringem,50.97943627,2.692900181,0
Alveringem,50.9842972,2.621344434,0
Alveringem,50.99349726,2.654966373,0
Alveringem,50.99451768,2.655230406,0
Alveringem,51.01213491,2.710578468,0
Alveringem,51.02412474,2.704691432,0
Jodoigne,50.76556372,4.906750673,0
Sint-Eloois-Vijve,50.90600034,3.404005889,0
Lo,50.97977362,2.749609819,1
Lo,50.98095042,2.748760387,1
Noordschote,50.95523768,2.810721296,1
Oostvleteren,50.93378466,2.741782542,1
Pollinkhove,50.97081615,2.73317423,1
Poperinge,50.91513915,2.688864844,1
Proven,50.8909733,2.656854036,1
Reninge,50.94766203,2.789880391,1
Roesbrugge-Haringe,50.90628655,2.618429132,1
Roesbrugge-Haringe,50.92000611,2.624774297,1
Waterland-Oudeman,51.28751257,3.589063051,1
Watervliet,51.27591406,3.627886796,1
Watou,50.85909155,2.664685142,1
Watou,50.85920268,2.620178609,1
Westvleteren,50.89617663,2.721361756,1
Westvleteren,50.92747599,2.71755785,1
Woesten,50.90063531,2.79044957,1
Dranouter,50.76635165,2.783481455,2
Houthulst,50.96883043,2.912497654,2
Kaprijke,51.24575096,3.601186599,2
Klerken,50.99651373,2.907084011,2
Klerken,50.99735858,2.904056909,2
Loker,50.78024883,2.776737276,2
Loker,50.78229027,2.772331816,2
Merkem,50.94350309,2.860738282,2
Merkem,50.95187987,2.852204991,2
Merkem,50.95491159,2.849630428,2
Middelburg,51.25599933,3.415894183,2
Sint-Jan-in-Eremo,51.26819762,3.58068714,2
Sint-Margriete,51.28232923,3.54615128,2
Heuvelland,50.74581163,2.826595381,3
Houthulst,50.9759702,2.928570317,3
Houthulst,50.97809438,2.951606085,3
Meerle,51.47432691,4.804243986,3
Meerle,51.49182763,4.76592187,3
Meerle,51.49638536,4.77608303,3
Sint-Kornelis-Horebeke,50.83511172,3.697449746,3
Sint-Maria-Horebeke,50.83771365,3.687679109,3
Teuven,50.75160949,5.874884043,3
Bekkevoort,50.91098869,4.951346328,4
Bekkevoort,50.91971945,4.941875267,4
Bekkevoort,50.92373116,4.967465361,4
Heuvelland,50.80007925,2.799405378,4
Meensel-Kiezegem,50.89555248,4.924361465,4
Meensel-Kiezegem,50.89832546,4.900780494,4
Mesen,50.76407732,2.899200394,4
Remersdaal,50.73117828,5.880955598,4
Teuven,50.75255561,5.849206619,4
Westouter,50.79755509,2.746551236,4
Avelgem,50.7477335,3.408196394,5
Beerst,51.05838769,2.886648359,5
Bellem,51.08792214,3.491082041,5
Diksmuide,50.99939188,2.800504956,5
Diksmuide,51.01313337,2.808708829,5
Diksmuide,51.01585821,2.833925102,5
Diksmuide,51.02964009,2.903013928,5
Diksmuide,51.03024463,2.884479063,5
Diksmuide,51.03165609,2.86451721,5
Diksmuide,51.03280856,2.768779176,5
Diksmuide,51.03401733,2.864707562,5
Diksmuide,51.03492573,2.864370379,5
Diksmuide,51.03594275,2.86319894,5
Diksmuide,51.03596612,2.838105593,5
Diksmuide,51.04644649,2.796005334,5
Diksmuide,51.04885731,2.912976107,5
Diksmuide,51.07350133,2.79536483,5
Diksmuide,51.0771456,2.825012912,5
Keiem,51.08089532,2.881884867,5
Kortenaken,50.88653179,4.994560624,5
Kortenaken,50.89558326,5.012194405,5
Leke,51.10086467,2.891380124,5
Maarkedal,50.77254936,3.677001192,5
Sint-Maria-Horebeke,50.80660784,3.67942669,5
Vladslo,51.04646793,2.915795355,5
Waanrode,50.91645995,5.004291699,5
