name,address,avg_price,ratings
't Fritwinkeltje,J.P. Minckelersstraat 35,5.253658536585366,4.6
Ah Quy,Alfons Smetsplein 4,7.913043478260869,4.5
Ali Baba,Kortestraat 12,7.1876033057851245,3.7
Annapurna,Tiensesteenweg 19,14.452525252525252,4.1
Ascoli,Muntstraat 17,16.641509433962263,3.8
Asian Bowl,Brusselsestraat 47,9.75,4.4
Asian Express,Brusselsestraat 116,10.083333333333334,4.5
Baguette & Salad Bar,Parijsstraat 59,5.575462962962963,3.5
Balls & Glory Leuven,Tiensestraat 31 bus c,11.829545454545455,4.4
Bar Nine,Oude Markt 9,11.479999999999999,4.2
Barouche Leuven,Tiensestraat 11,10.521176470588234,4.2
Bavet,Savoyestraat 2,10.18235294117647,3.6
Belchicken Leuven,Rector de Somerplein 14,9.418916666666666,3.9
Bia Mara,Tiensestraat 20,10.134375,4.3
Bite,Tiensestraat 12,10.215789473684211,4.9
Bocata,Maria Theresiastraat 12A,3.867682926829268,3.8
Boccone,Rector de Somerplein 15A,5.926829268292683,4.1
Bodhi,Mechelsestraat 140 bus 2,8.970588235294118,4.7
Brasserie Foyer,Mathieu de Layensplein 5,11.227272727272727,4.8
Buddha House,Tiensestraat 79,16.174107142857142,4.1
Burger Folie,Muntstraat 4,13.222857142857142,4.2
Burger King,Rector de Somerplein 8,6.5795,2.3
Capital 88,Fonteinstraat 1A,16.792168674698797,4.1
Casa Mia,Muntstraat 8,14.978282828282827,3.8
Casper,oude markt 2,8.538735632183908,3.4
Cheekofte & Wraps,Diestsestraat 126,6.208088235294118,4.7
Chick 'n Dip,Tiensestraat 170,4.456164383561644,4.0
Croque 'n Roll,Tiensestraat 35,14.322222222222221,4.8
D'entreprise,Naamsestraat 18,10.973684210526315,4.2
D-Afro Flavours,Naamsestraat 87,16.013157894736842,2.3
Dal Pesce Innamorato,Bogaardenstraat 81,17.232758620689655,3.5
Damasco,Alfons Smetsplein 3/2,6.744186046511628,4.1
Dar Za,Diestsestraat 128A,6.935294117647059,4.4
De Appel,Ravenstraat 15,14.561224489795919,4.6
De Blauwe Schuit,Mathieu de Layensplein 9,22.85151515151515,3.9
De Friettoerist,Sint-Jacobsplein 13,2.722018348623853,3.6
De Klimop,Martelarenplein 5,15.946808510638299,4.1
De Nijl 1,Naamsestraat 66,6.2153284671532845,3.0
De Pasvite,Tiensestraat 14,4.9904761904761905,4.5
De Smullende Heks,Diestsestraat 250,4.176146788990826,4.3
Deli Sushi,Muntstraat 18,14.32846153846154,3.5
Domino's Pizza,Diestsestraat 265/267,8.38048780487805,3.4
Domino's Pizza,Naamsevest 8,8.843055555555557,3.1
Domus,Tiensestraat 8,15.724590163934426,4.4
El Sombrero,Lei 25,17.896153846153847,4.3
Ellis,Naamsestraat 5,11.519512195121951,3.1
Falafel Top,Diestsestraat 159,4.8875,4.9
FoodBar,Brusselsestraat 146,11.00940170940171,3.3
Frietcafé l'Etoile d'Or,Tiensevest 16,3.63219696969697,4.7
Fritboutique,Tiensestraat 58,3.7375000000000003,4.1
Friterie Pepe's Taste,Tiensestraat 103,3.7584905660377355,3.6
Frituur Belgium,Kortestraat 4,4.297413793103448,4.2
Frituur Boem Patat,Martelarenlaan 83,4.367816091954023,2.9
Frituur De Ring,Tiensevest 192,3.656190476190476,3.4
Frituur Den Dreef,Naamsesteenweg 58,3.7707142857142855,4.5
Frituur Het Grotteke,Heilige-Geeststraat 102,4.08135593220339,4.5
Frituur Movie bij Patrick,Burgemeestersstraat 42,4.575,4.3
Fuji Sushi,Tiensestraat 121,11.486942675159236,4.7
Greenway,Parijsstraat 12,15.59375,4.4
Grill & Service,Diestsestraat 248,7.2322033898305085,4.0
Hawaiian Poké Bowl,Tiensestraat 64,6.875471698113207,3.9
Heli's,Tiensestraat 62,8.79873417721519,4.6
Hokkaido Sushi,Mechelsestraat 46,11.058653846153845,4.2
Il Pastaio,Baron August de Becker Remyplein 19,8.68421052631579,4.6
Indian Royal Food,Brusselsestraat 91,11.315263157894737,4.0
Istanbul,Kortestraat 11,8.53467741935484,3.6
Jagat's Place,Naamsestraat 114,9.046052631578947,4.7
KFC,Grote Markt 14,9.73426966292135,3.1
Kalypta Wereldkeuken & Tapasbar,Parijsstraat 21,17.43529411764706,3.4
Kebab Company,Martelarenplein 16,6.641304347826087,3.8
Kebab Leuven,Diestsestraat 62,6.713483146067416,3.2
Kibo Sushi,Tiensesteenweg 126,11.477594936708861,4.3
Kintsugi Sushi Bar & Grill,Tiensevest 14,12.57392857142857,4.3
Kyoto,Tiensestraat 237-239,10.547435897435896,4.6
La Cantina del Coronel,Munstraat 12,17.59375,3.8
La Favola,Muntstraat 14,23.165178571428573,3.9
La Piazzetta,Mechelsestraat 65,13.151785714285714,4.3
Lavinia,Rector de Somerplein 19,7.208333333333333,4.5
Le Graal,Rector de Somerplein 3,6.908163265306122,4.4
Le Pain Quotidien,Parijsstraat 35,10.799065420560748,4.5
